@RELATION .\uk-2007-05.obvious_features.csv

@ATTRIBUTE hostid NUMERIC
@ATTRIBUTE number_of_pages NUMERIC
@ATTRIBUTE length_of_hostname NUMERIC
@ATTRIBUTE class {spam,nonspam}
@ATTRIBUTE assessmentscore NUMERIC


@DATA
23461,28394,18,nonspam,0.000000
23472,174,25,nonspam,0.000000
23511,1,25,spam,1.000000
23547,5,29,nonspam,0.000000
23555,99,24,nonspam,0.000000
23563,2,22,nonspam,0.000000
23572,55,30,nonspam,0.000000
23589,9,22,nonspam,0.000000
23594,13,24,nonspam,0.000000
23606,5,22,nonspam,0.000000
23689,3072,17,nonspam,0.000000
23692,325,25,nonspam,0.000000
23713,25,21,nonspam,0.000000
23720,1,19,nonspam,0.000000
23726,12,17,nonspam,0.000000
23730,5,29,nonspam,0.333333
23738,154,16,nonspam,0.000000
23773,6,26,nonspam,0.000000
23835,593,24,nonspam,0.000000
23861,23,27,nonspam,0.000000
23872,76,20,nonspam,0.000000
23885,29,22,nonspam,0.083333
23972,1,22,nonspam,0.000000
24033,17378,17,nonspam,0.000000
24051,57,14,nonspam,0.000000
24072,91,14,nonspam,0.000000
24075,1,16,nonspam,0.000000
24104,9677,27,nonspam,0.000000
24114,23,21,nonspam,0.000000
24137,185,19,nonspam,0.000000
24150,1,31,nonspam,0.000000
24168,31,26,nonspam,0.000000
24231,14,20,nonspam,0.000000
24247,5,20,nonspam,0.000000
24313,1,22,nonspam,0.000000
24337,830,26,nonspam,0.000000
24338,1692,25,nonspam,0.000000
24343,1,20,nonspam,0.000000
24356,12,25,nonspam,0.250000
24364,5,29,nonspam,0.000000
24462,225,32,nonspam,0.000000
24485,228,26,nonspam,0.000000
24496,328,32,nonspam,0.000000
24587,9,21,nonspam,0.000000
24624,11,25,nonspam,0.000000
24740,26,22,nonspam,0.375000
24750,1,23,spam,1.000000
24774,18,27,nonspam,0.000000
24781,103,31,nonspam,0.000000
24803,114,28,nonspam,0.000000
24812,6,32,nonspam,0.000000
24814,274,31,spam,1.000000
24833,1,27,nonspam,0.000000
24848,1,35,nonspam,0.000000
24855,73,19,nonspam,0.000000
24863,1,23,nonspam,0.000000
24869,24,31,nonspam,0.062500
24909,11,23,nonspam,0.000000
24926,2,24,nonspam,0.000000
24930,17,27,nonspam,0.000000
24962,12,30,nonspam,0.000000
24996,23,24,nonspam,0.250000
25022,36,18,nonspam,0.000000
25050,43229,17,nonspam,0.000000
25073,1,27,nonspam,0.000000
25135,51,23,nonspam,0.000000
25148,1,23,nonspam,0.000000
25168,3,15,nonspam,0.000000
25178,81,26,nonspam,0.250000
25196,11,29,nonspam,0.000000
25225,3,34,nonspam,0.000000
25255,31,21,nonspam,0.000000
25266,11,33,nonspam,0.000000
25279,19,23,nonspam,0.000000
25410,396,24,nonspam,0.000000
25418,93,30,nonspam,0.000000
25442,31,28,nonspam,0.000000
25507,334,25,spam,1.000000
25529,23,20,nonspam,0.000000
25544,67,25,nonspam,0.000000
25561,15,21,nonspam,0.000000
25630,27,27,nonspam,0.000000
25632,1,22,spam,1.000000
25679,82,19,nonspam,0.000000
25699,13,19,nonspam,0.000000
25705,9,24,nonspam,0.000000
25718,2,27,nonspam,0.000000
25745,1,26,nonspam,0.000000
25756,946,26,nonspam,0.000000
25784,28,24,nonspam,0.000000
25825,9,27,nonspam,0.000000
25827,55,16,nonspam,0.000000
25836,15,25,nonspam,0.000000
25880,21,20,nonspam,0.000000
25924,1,14,nonspam,0.000000
25926,2,23,nonspam,0.000000
25938,936,16,nonspam,0.000000
25993,781,21,nonspam,0.000000
26028,164,16,nonspam,0.000000
26069,10,14,nonspam,0.000000
26110,31,31,spam,0.833333
26113,9,25,nonspam,0.000000
26150,45,23,nonspam,0.000000
26161,199,29,nonspam,0.000000
26163,230,23,nonspam,0.000000
26217,16,23,nonspam,0.000000
26257,52,14,nonspam,0.000000
26389,62,40,nonspam,0.000000
26447,1,26,nonspam,0.000000
26449,64,27,nonspam,0.000000
26650,1,24,nonspam,0.000000
26664,55,57,nonspam,0.250000
26679,1,26,spam,1.000000
26719,351,25,nonspam,0.000000
26736,346,21,nonspam,0.000000
26744,212,27,nonspam,0.000000
26749,6,34,nonspam,0.250000
26775,7,29,nonspam,0.250000
26798,5,28,nonspam,0.000000
26834,1,35,nonspam,0.000000
26836,80,24,nonspam,0.000000
26854,20,20,nonspam,0.000000
26912,764,16,nonspam,0.000000
26997,79,20,nonspam,0.000000
27014,1,15,nonspam,0.000000
27047,19,23,nonspam,0.166667
27189,2,16,nonspam,0.000000
27235,1,26,nonspam,0.000000
27248,2,26,nonspam,0.000000
27258,52,24,nonspam,0.000000
27346,7,18,nonspam,0.000000
27375,43,25,nonspam,0.000000
27381,16475,21,nonspam,0.000000
27402,37,25,nonspam,0.000000
27422,179,25,nonspam,0.000000
27453,9,23,spam,0.875000
27484,11,25,nonspam,0.250000
27539,12,27,nonspam,0.000000
27540,65,17,nonspam,0.250000
27571,100,28,nonspam,0.000000
27628,538,29,nonspam,0.000000
27671,8279,25,nonspam,0.000000
27681,1,23,nonspam,0.000000
27684,1323,22,nonspam,0.000000
27710,385,16,nonspam,0.000000
27767,141,23,nonspam,0.250000
27828,20,31,nonspam,0.083333
27856,1330,16,nonspam,0.250000
27869,6465,18,nonspam,0.000000
27874,9,17,nonspam,0.000000
27921,1285,22,nonspam,0.000000
27935,7,22,nonspam,0.000000
27950,35,20,nonspam,0.000000
27956,31,25,nonspam,0.000000
27966,6,23,nonspam,0.000000
27987,13,21,nonspam,0.000000
27998,8,29,nonspam,0.000000
28046,32,20,nonspam,0.000000
28053,1,17,nonspam,0.000000
28064,87,17,nonspam,0.000000
28073,2,22,nonspam,0.000000
28129,2,22,spam,1.000000
28145,1,17,nonspam,0.000000
28158,60,22,nonspam,0.000000
28213,103,18,nonspam,0.000000
28215,14,17,nonspam,0.000000
28223,1,17,nonspam,0.000000
28267,7,34,nonspam,0.000000
28292,8,18,nonspam,0.000000
28320,1291,29,nonspam,0.000000
28328,5,29,nonspam,0.000000
28329,1,22,nonspam,0.250000
28414,2117,18,nonspam,0.000000
28422,129,21,nonspam,0.000000
28441,23,18,spam,1.000000
28513,1454,28,nonspam,0.000000
28553,99,27,nonspam,0.000000
28568,60,16,nonspam,0.000000
28624,76,23,nonspam,0.250000
28634,1,21,nonspam,0.000000
28636,127,29,nonspam,0.000000
28651,421,19,nonspam,0.000000
28671,19,16,nonspam,0.000000
28676,5,29,nonspam,0.000000
28681,66,22,nonspam,0.000000
28709,3,31,nonspam,0.000000
28736,1,21,nonspam,0.000000
28741,7,24,nonspam,0.000000
28790,5,20,nonspam,0.000000
28830,18,25,nonspam,0.000000
28836,17,21,nonspam,0.000000
28853,102,33,spam,1.000000
28859,47,32,nonspam,0.000000
28884,11,25,nonspam,0.000000
28903,24,26,nonspam,0.000000
28923,13,18,nonspam,0.000000
28984,5,22,nonspam,0.000000
28991,128,25,nonspam,0.000000
28994,12,22,nonspam,0.000000
28997,486,24,nonspam,0.000000
29013,1,21,nonspam,0.000000
29033,19,16,nonspam,0.000000
29054,300,16,nonspam,0.000000
29097,45,24,nonspam,0.000000
29132,21,28,nonspam,0.000000
29136,281,23,nonspam,0.000000
29172,42,21,nonspam,0.250000
29175,104,21,nonspam,0.000000
29180,27,24,nonspam,0.000000
29190,14,29,nonspam,0.000000
29198,53,27,nonspam,0.000000
29205,7,26,nonspam,0.000000
29281,203,35,nonspam,0.000000
29284,28,32,nonspam,0.000000
29287,10,24,nonspam,0.000000
29302,125,25,nonspam,0.000000
29328,5,28,nonspam,0.000000
29356,1,31,nonspam,0.000000
29392,8994,19,nonspam,0.000000
29395,18,20,nonspam,0.000000
29444,34,15,nonspam,0.000000
29463,136,16,nonspam,0.000000
29494,12,14,nonspam,0.000000
29570,78,18,nonspam,0.000000
29628,1,15,nonspam,0.000000
29639,41,26,nonspam,0.000000
29649,17,15,nonspam,0.000000
29670,11,20,nonspam,0.250000
29695,26,14,nonspam,0.000000
29697,123,24,nonspam,0.000000
29756,70,13,nonspam,0.000000
29789,73,15,nonspam,0.000000
29887,97,19,nonspam,0.000000
29903,4,25,nonspam,0.000000
29937,25,29,nonspam,0.000000
29983,179,21,nonspam,0.000000
30032,9,24,nonspam,0.000000
30077,213,20,nonspam,0.000000
30099,1,24,nonspam,0.000000
30115,7,21,nonspam,0.000000
30129,49,26,nonspam,0.000000
30208,9579,12,nonspam,0.000000
30222,75,14,spam,0.750000
30242,6,14,nonspam,0.000000
30269,39,14,nonspam,0.000000
30280,1,15,nonspam,0.000000
30300,2465,16,nonspam,0.000000
30327,44,18,nonspam,0.000000
30458,8,27,nonspam,0.000000
30554,1,20,nonspam,0.000000
30657,11,23,nonspam,0.000000
30677,1,22,nonspam,0.000000
30681,9,26,nonspam,0.000000
30746,1408,23,nonspam,0.000000
30768,6367,18,nonspam,0.000000
30769,33,22,nonspam,0.000000
30814,25218,20,nonspam,0.000000
30827,532,25,nonspam,0.000000
30889,13,19,nonspam,0.000000
30913,6,23,nonspam,0.000000
30959,1,30,spam,1.000000
30999,541,27,nonspam,0.000000
31022,4254,28,nonspam,0.000000
31049,14,19,nonspam,0.000000
31050,43950,26,nonspam,0.250000
31065,7,17,nonspam,0.000000
31078,81,26,nonspam,0.000000
31082,18,25,nonspam,0.000000
31105,1,25,spam,1.000000
31136,1,22,nonspam,0.000000
31145,24,33,spam,1.000000
31171,32,25,nonspam,0.250000
31237,287,22,nonspam,0.000000
31248,16,25,nonspam,0.000000
31282,1,19,nonspam,0.000000
31303,37,21,nonspam,0.000000
31357,14,28,nonspam,0.000000
31404,6,20,nonspam,0.250000
31455,1,27,nonspam,0.000000
31480,13,27,nonspam,0.000000
31498,5,28,nonspam,0.000000
31634,87,23,nonspam,0.000000
31660,176,18,nonspam,0.000000
31663,1,21,nonspam,0.000000
31673,106,29,nonspam,0.083333
31678,8,27,nonspam,0.000000
31704,10,30,nonspam,0.000000
31717,176,17,nonspam,0.000000
31763,129,14,nonspam,0.000000
31781,655,24,nonspam,0.000000
31791,1,31,nonspam,0.000000
31866,10,27,nonspam,0.000000
31909,3,29,nonspam,0.000000
31913,75,26,nonspam,0.000000
31959,1,27,nonspam,0.000000
32037,1,16,nonspam,0.000000
32143,7,19,nonspam,0.000000
32153,14439,15,nonspam,0.000000
32175,69,20,nonspam,0.000000
32189,10,15,nonspam,0.000000
32212,58,17,nonspam,0.000000
32220,8,21,nonspam,0.000000
32233,16,20,nonspam,0.000000
32238,1271,19,nonspam,0.000000
32245,3315,15,nonspam,0.000000
32259,22,19,nonspam,0.000000
32276,1,19,nonspam,0.000000
32347,1,20,nonspam,0.000000
32361,108,25,nonspam,0.000000
32380,10,21,nonspam,0.000000
32409,13,22,nonspam,0.000000
32452,1,19,nonspam,0.000000
32459,62,22,nonspam,0.000000
32478,24,20,nonspam,0.000000
32480,1512,21,nonspam,0.000000
32596,6,20,nonspam,0.000000
32725,1,22,nonspam,0.000000
32741,2,29,nonspam,0.000000
32775,454,26,nonspam,0.000000
32776,5,26,nonspam,0.000000
32780,14,30,nonspam,0.000000
32802,16,24,nonspam,0.000000
32805,2703,20,nonspam,0.000000
32866,6,30,nonspam,0.000000
33056,1,23,nonspam,0.000000
33072,1,19,nonspam,0.000000
33119,12,28,nonspam,0.000000
33217,8,31,nonspam,0.000000
33221,734,16,nonspam,0.000000
33228,8,19,nonspam,0.000000
33230,12,23,nonspam,0.000000
33241,85,29,nonspam,0.000000
33246,133,23,nonspam,0.000000
33295,12,28,nonspam,0.000000
33296,14,44,nonspam,0.000000
33316,5,19,nonspam,0.000000
33346,126,23,nonspam,0.000000
33439,1,18,nonspam,0.000000
33488,6134,28,nonspam,0.125000
33491,79,26,nonspam,0.000000
33508,37,26,nonspam,0.000000
33533,8,21,nonspam,0.000000
33540,14,15,nonspam,0.000000
33595,7429,19,nonspam,0.000000
33649,11393,19,nonspam,0.000000
33682,8,30,nonspam,0.000000
33765,16,25,nonspam,0.000000
33812,9,23,nonspam,0.000000
33817,15,27,nonspam,0.000000
33859,1,30,nonspam,0.000000
33873,99,14,nonspam,0.000000
33895,24,30,nonspam,0.000000
33979,1,36,nonspam,0.000000
34016,5,17,spam,1.000000
34036,31,20,nonspam,0.000000
34065,63,21,nonspam,0.000000
34073,5,24,nonspam,0.000000
34093,485,19,nonspam,0.000000
34105,10,23,nonspam,0.000000
34116,1,31,nonspam,0.000000
34141,16,29,nonspam,0.000000
34185,224,20,nonspam,0.000000
34212,34,24,nonspam,0.000000
34331,3,21,nonspam,0.000000
34345,191,31,nonspam,0.000000
34348,1,19,nonspam,0.300000
34383,3,29,nonspam,0.000000
34400,7,30,nonspam,0.000000
34465,33,21,nonspam,0.200000
34475,23,21,nonspam,0.000000
34476,2,37,nonspam,0.000000
34618,12,29,nonspam,0.000000
34630,4250,28,nonspam,0.000000
34652,1,26,nonspam,0.000000
34777,24,27,nonspam,0.000000
34786,2,22,nonspam,0.000000
34797,16,19,nonspam,0.000000
34845,1,23,nonspam,0.250000
34850,31,25,nonspam,0.000000
34854,54,20,nonspam,0.000000
34865,73,31,nonspam,0.250000
34871,25,25,nonspam,0.000000
34901,186,24,nonspam,0.000000
34912,23,27,nonspam,0.000000
34941,1,19,nonspam,0.000000
34965,1,29,spam,1.000000
34966,450,31,nonspam,0.000000
35007,1,27,nonspam,0.000000
35018,17,28,nonspam,0.000000
35066,3975,22,spam,0.750000
35088,1,26,nonspam,0.000000
35127,1,27,nonspam,0.000000
35134,6,24,nonspam,0.000000
35169,70,19,nonspam,0.250000
35190,47,20,nonspam,0.000000
35197,5,17,nonspam,0.166667
35225,1,20,nonspam,0.000000
35300,36,16,nonspam,0.000000
35304,38,23,nonspam,0.000000
35308,2,18,nonspam,0.000000
35309,9,20,nonspam,0.000000
35320,109,26,nonspam,0.000000
35329,57,17,nonspam,0.000000
35357,17,26,nonspam,0.000000
35402,1,16,spam,1.000000
35456,23,30,nonspam,0.000000
35458,23,26,nonspam,0.000000
35459,1,21,nonspam,0.000000
35470,12,25,nonspam,0.000000
35481,9,24,nonspam,0.000000
35515,1,38,nonspam,0.000000
35585,411,28,nonspam,0.000000
35636,4,26,nonspam,0.000000
35637,28,21,nonspam,0.000000
35667,235,25,nonspam,0.000000
35735,8,29,nonspam,0.000000
35782,5,23,nonspam,0.000000
35783,27,26,nonspam,0.000000
35830,1,29,nonspam,0.000000
35845,6,23,nonspam,0.000000
35858,6,22,nonspam,0.000000
35860,141,21,nonspam,0.000000
35875,10,27,nonspam,0.000000
35879,80,22,nonspam,0.000000
35896,58,25,nonspam,0.000000
35924,10,29,nonspam,0.000000
35960,115,26,nonspam,0.000000
35974,60,28,nonspam,0.000000
35977,1,31,nonspam,0.000000
36009,1,29,nonspam,0.000000
36036,1,25,nonspam,0.000000
36101,18,26,nonspam,0.000000
36120,1,19,nonspam,0.000000
36125,2882,24,nonspam,0.000000
36127,25,22,nonspam,0.000000
36154,1,26,nonspam,0.000000
36174,19,27,nonspam,0.250000
36208,23,24,nonspam,0.000000
36235,858,27,nonspam,0.000000
36246,41,27,nonspam,0.000000
36267,55,16,nonspam,0.000000
36278,354,14,nonspam,0.000000
36282,136,17,nonspam,0.000000
36289,60,22,nonspam,0.000000
36332,25,19,nonspam,0.000000
36354,1,23,nonspam,0.000000
36373,49882,21,nonspam,0.277778
36419,12,21,nonspam,0.000000
36427,426,20,nonspam,0.000000
36432,88,22,nonspam,0.000000
36459,9037,23,nonspam,0.000000
36574,883,14,nonspam,0.000000
36575,1,16,nonspam,0.000000
36597,46,14,nonspam,0.000000
36614,62,23,nonspam,0.000000
36640,11,28,nonspam,0.000000
36684,1,23,nonspam,0.000000
36686,339,30,nonspam,0.000000
36735,2358,23,spam,1.000000
36746,29,24,spam,1.000000
36760,93,24,nonspam,0.166667
36773,18,18,nonspam,0.000000
36915,101,24,nonspam,0.250000
36921,23,25,nonspam,0.000000
36937,1,33,spam,1.000000
36943,1,15,nonspam,0.000000
36996,4,17,nonspam,0.000000
37011,33,27,nonspam,0.000000
37082,485,19,nonspam,0.000000
37091,1,26,nonspam,0.000000
37125,8,32,nonspam,0.000000
37147,2,27,nonspam,0.000000
37184,7,15,nonspam,0.000000
37194,1,27,nonspam,0.000000
37195,55,35,nonspam,0.000000
37245,29,24,nonspam,0.000000
37261,1962,23,spam,0.750000
37282,11276,30,spam,0.714286
37325,15,25,nonspam,0.000000
37334,5,29,nonspam,0.100000
37382,2551,17,nonspam,0.000000
37401,1657,15,nonspam,0.000000
37450,6,19,nonspam,0.000000
37454,1,26,nonspam,0.000000
37503,21,27,nonspam,0.000000
37504,1032,14,nonspam,0.000000
37526,150,14,nonspam,0.000000
37539,21,18,nonspam,0.000000
37599,435,21,nonspam,0.000000
37616,232,23,nonspam,0.000000
37638,342,13,nonspam,0.000000
37654,19,23,nonspam,0.000000
37664,2819,19,nonspam,0.000000
37665,163,22,nonspam,0.000000
37679,1,30,nonspam,0.000000
37713,2394,23,nonspam,0.300000
37724,21448,27,nonspam,0.000000
37753,39130,17,nonspam,0.000000
37769,413,16,nonspam,0.000000
37773,15,24,nonspam,0.000000
37815,692,21,nonspam,0.000000
37836,5,26,nonspam,0.000000
37848,1,22,nonspam,0.000000
37850,25,29,nonspam,0.000000
37856,7,23,nonspam,0.000000
37873,17,18,nonspam,0.000000
37998,14,20,nonspam,0.000000
38009,9,18,nonspam,0.000000
38010,3,20,nonspam,0.000000
38034,13,18,nonspam,0.250000
38057,1,20,nonspam,0.000000
38097,97,15,nonspam,0.000000
38138,397,24,nonspam,0.000000
38157,257,27,nonspam,0.000000
38160,12406,20,nonspam,0.000000
38180,54,18,nonspam,0.000000
38187,221,31,nonspam,0.000000
38201,263,30,spam,1.000000
38221,10,20,nonspam,0.000000
38226,1,15,nonspam,0.000000
38233,58,14,nonspam,0.000000
38237,74,15,nonspam,0.000000
38294,11,16,nonspam,0.000000
38312,12,26,nonspam,0.000000
38486,124,16,nonspam,0.000000
38532,6,22,nonspam,0.000000
38571,54,31,nonspam,0.250000
38608,3,25,nonspam,0.250000
38625,7,22,nonspam,0.000000
38645,730,17,nonspam,0.000000
38662,12,23,nonspam,0.000000
38682,1231,24,nonspam,0.000000
38733,1,32,nonspam,0.000000
38774,253,29,nonspam,0.333333
38821,10,26,nonspam,0.000000
38835,4,15,nonspam,0.000000
38886,55,17,nonspam,0.000000
38903,24,31,nonspam,0.000000
38985,12,28,nonspam,0.000000
38989,7,33,nonspam,0.000000
38998,4,27,nonspam,0.000000
39024,339,16,nonspam,0.000000
39087,2,28,nonspam,0.000000
39111,13,22,nonspam,0.000000
39124,1255,21,nonspam,0.000000
39151,1,26,nonspam,0.000000
39157,22,22,nonspam,0.000000
39159,8,21,nonspam,0.000000
39162,22,20,nonspam,0.000000
39167,1,20,nonspam,0.000000
39203,15,26,nonspam,0.000000
39217,24,17,nonspam,0.000000
39264,7,21,nonspam,0.000000
39317,143,16,nonspam,0.250000
39365,8,19,nonspam,0.000000
39425,147,20,nonspam,0.000000
39427,5092,16,nonspam,0.000000
39465,15,22,nonspam,0.000000
39485,3117,28,nonspam,0.000000
39522,10,29,nonspam,0.000000
39530,43,21,nonspam,0.000000
39552,15,26,nonspam,0.000000
39554,14,29,nonspam,0.000000
39558,1546,23,nonspam,0.000000
39575,6,27,nonspam,0.000000
39593,1068,38,nonspam,0.000000
39606,7,18,spam,0.750000
39611,75,21,nonspam,0.000000
39679,11,15,nonspam,0.000000
39767,69,25,nonspam,0.000000
39773,22,31,nonspam,0.000000
39798,55,25,nonspam,0.000000
39809,5,17,nonspam,0.000000
39879,8,30,nonspam,0.000000
39906,17,26,spam,1.000000
39941,29,16,nonspam,0.000000
39981,5,21,spam,0.750000
40031,1,24,spam,1.000000
40032,8,20,nonspam,0.000000
40034,40,25,nonspam,0.000000
40044,75,21,nonspam,0.000000
40089,348,33,nonspam,0.000000
40216,49,20,nonspam,0.000000
40220,1,19,nonspam,0.000000
40228,15,27,nonspam,0.000000
40236,24,29,nonspam,0.000000
40260,1,22,nonspam,0.000000
40297,3,21,nonspam,0.000000
40313,7,20,nonspam,0.000000
40315,21,25,nonspam,0.000000
40331,1,23,nonspam,0.000000
40335,14,20,nonspam,0.000000
40345,52,18,nonspam,0.000000
40370,25,27,nonspam,0.250000
40378,202,27,nonspam,0.000000
40398,554,23,nonspam,0.000000
40420,35,22,nonspam,0.000000
40432,24,44,nonspam,0.000000
40520,156,16,nonspam,0.000000
40553,29,20,nonspam,0.000000
40557,20,13,nonspam,0.000000
40580,20,27,nonspam,0.000000
40582,11,16,nonspam,0.000000
40583,16,15,nonspam,0.000000
40634,1,21,nonspam,0.000000
40639,216,26,nonspam,0.000000
40668,1,21,spam,1.000000
40675,1,17,nonspam,0.250000
40715,26,20,nonspam,0.000000
40716,6,21,nonspam,0.000000
40763,7,20,nonspam,0.000000
40772,121,25,nonspam,0.000000
40875,1,30,nonspam,0.000000
40876,6,28,nonspam,0.000000
40902,96,25,nonspam,0.000000
40908,1,20,nonspam,0.000000
40953,22,24,nonspam,0.000000
41157,1,34,spam,1.000000
41194,975,26,nonspam,0.000000
41247,12,22,nonspam,0.000000
41261,1950,19,nonspam,0.000000
41299,468,18,nonspam,0.000000
41312,38633,17,spam,1.000000
41382,17,20,nonspam,0.000000
41387,19,20,nonspam,0.000000
41404,3,19,nonspam,0.000000
41413,151,17,nonspam,0.000000
41507,27,21,nonspam,0.000000
41509,1,25,spam,0.900000
41714,1,25,nonspam,0.166667
41718,1,25,nonspam,0.000000
41756,16,16,nonspam,0.250000
41777,1,23,nonspam,0.000000
41836,65,28,nonspam,0.000000
41885,105,18,nonspam,0.000000
41894,180,17,spam,1.000000
41940,5,30,nonspam,0.000000
41947,1,22,spam,1.000000
41994,33,37,nonspam,0.000000
42001,42,26,nonspam,0.000000
42027,73,19,nonspam,0.000000
42044,31,29,nonspam,0.000000
42047,2495,23,nonspam,0.000000
42055,2,22,nonspam,0.000000
42084,1,25,spam,1.000000
42110,1,23,spam,1.000000
42183,22,25,nonspam,0.000000
42233,1,22,nonspam,0.000000
42245,1,28,nonspam,0.000000
42254,5,23,nonspam,0.250000
42264,26,16,nonspam,0.000000
42275,12,20,nonspam,0.000000
42344,1552,32,nonspam,0.000000
42422,9,22,nonspam,0.000000
42428,1,25,spam,1.000000
42464,25,23,nonspam,0.000000
42530,2,26,spam,0.750000
42539,1,35,nonspam,0.000000
42541,1,21,nonspam,0.000000
42549,4439,15,nonspam,0.000000
42590,1444,20,nonspam,0.000000
42595,61,28,nonspam,0.200000
42603,1,17,nonspam,0.000000
42614,1,18,nonspam,0.000000
42616,2,18,nonspam,0.000000
42617,17,31,nonspam,0.000000
42622,28,21,nonspam,0.000000
42644,2,28,nonspam,0.000000
42645,67,18,nonspam,0.000000
42716,3,19,nonspam,0.000000
42743,18,14,nonspam,0.000000
42747,2,19,nonspam,0.000000
42748,69,15,nonspam,0.000000
42806,249,26,spam,0.750000
42809,25,28,nonspam,0.000000
42813,13,27,nonspam,0.000000
42814,1731,19,nonspam,0.000000
42816,88,24,nonspam,0.000000
42843,9,24,nonspam,0.000000
42918,1,30,nonspam,0.000000
42938,20,26,nonspam,0.000000
42957,1,26,nonspam,0.000000
42963,171,21,nonspam,0.000000
43115,369,16,nonspam,0.000000
43129,21,22,nonspam,0.000000
43136,1143,14,nonspam,0.000000
43235,310,30,nonspam,0.000000
43238,19,14,nonspam,0.000000
43242,73,30,nonspam,0.000000
43246,11,21,nonspam,0.000000
43263,262,15,spam,1.000000
43270,1,25,nonspam,0.250000
43272,18181,21,nonspam,0.000000
43298,1,19,nonspam,0.000000
43314,1,19,nonspam,0.000000
43350,95,21,nonspam,0.000000
43363,3257,14,nonspam,0.000000
43385,1,26,nonspam,0.000000
43396,1,15,nonspam,0.000000
43421,24,21,nonspam,0.000000
43445,297,26,nonspam,0.000000
43447,21,26,nonspam,0.000000
43482,2,22,nonspam,0.000000
43505,235,15,nonspam,0.000000
43526,2450,28,spam,0.666667
43593,28,25,nonspam,0.000000
43595,2,24,nonspam,0.000000
43710,24127,35,nonspam,0.000000
43713,333,24,nonspam,0.000000
43732,40,19,nonspam,0.250000
43746,1027,23,nonspam,0.000000
43756,1,28,nonspam,0.000000
43765,3,27,nonspam,0.000000
43766,22499,23,spam,1.000000
43808,68,20,nonspam,0.000000
43834,340,15,nonspam,0.000000
43837,59,15,nonspam,0.000000
43843,166,20,spam,1.000000
43960,11,14,nonspam,0.000000
44054,57,21,nonspam,0.000000
44063,1,22,nonspam,0.000000
44067,12,28,nonspam,0.000000
44077,24,20,nonspam,0.000000
44102,33,16,nonspam,0.000000
44110,1,27,nonspam,0.000000
44122,11,21,nonspam,0.000000
44211,146,18,nonspam,0.000000
44221,16,24,nonspam,0.000000
44253,55,20,nonspam,0.000000
44338,17,27,nonspam,0.000000
44370,14,26,nonspam,0.000000
44373,1,22,nonspam,0.000000
44385,92,21,nonspam,0.000000
44386,1,17,nonspam,0.000000
44422,18,17,nonspam,0.000000
44424,102,14,nonspam,0.000000
44541,37,16,nonspam,0.000000
44562,26,27,nonspam,0.250000
44613,280,23,nonspam,0.000000
44615,15,27,nonspam,0.000000
44628,5,23,nonspam,0.000000
44720,1,15,nonspam,0.000000
44727,1,14,nonspam,0.000000
44733,2,27,nonspam,0.000000
44758,6,15,nonspam,0.000000
44848,1,25,nonspam,0.000000
44878,113,28,nonspam,0.000000
44894,2,22,spam,0.700000
44906,1,26,spam,1.000000
44907,21,28,nonspam,0.000000
44916,1,27,spam,1.000000
44923,57,21,nonspam,0.000000
44931,190,18,nonspam,0.000000
44944,15,23,nonspam,0.000000
44965,11,23,nonspam,0.000000
44980,25,14,nonspam,0.000000
45001,23,17,nonspam,0.000000
45010,18,19,nonspam,0.000000
45085,1,18,nonspam,0.000000
45108,7,23,nonspam,0.000000
45165,8,15,nonspam,0.000000
45171,40,26,spam,1.000000
45204,16,30,nonspam,0.333333
45217,14,22,nonspam,0.000000
45228,11,24,nonspam,0.000000
45245,64,17,nonspam,0.000000
45257,934,24,nonspam,0.000000
45332,9,16,nonspam,0.000000
45372,1,18,nonspam,0.125000
45404,9,15,nonspam,0.000000
45405,9,25,nonspam,0.000000
45439,64,29,nonspam,0.000000
45461,1,22,nonspam,0.250000
45516,20,27,nonspam,0.000000
45517,1,19,nonspam,0.000000
45553,6,28,nonspam,0.000000
45593,37,36,nonspam,0.000000
45605,15,25,nonspam,0.000000
45632,220,15,nonspam,0.000000
45644,2659,27,nonspam,0.000000
45715,19,25,nonspam,0.000000
45727,20,32,nonspam,0.000000
45734,16,34,nonspam,0.000000
45737,22,32,nonspam,0.000000
45868,9,16,nonspam,0.000000
45889,1012,35,nonspam,0.000000
45913,14,30,spam,1.000000
45953,9,23,nonspam,0.000000
45977,22,27,nonspam,0.000000
46017,1262,22,nonspam,0.000000
46052,71,20,nonspam,0.000000
46071,27,30,nonspam,0.000000
46087,37,39,nonspam,0.000000
46101,186,17,nonspam,0.000000
46111,7756,20,nonspam,0.000000
46169,68,17,nonspam,0.000000
46205,314,13,nonspam,0.000000
46224,19,13,nonspam,0.000000
46283,155,22,nonspam,0.400000
46292,1,22,spam,0.750000
46304,1,19,spam,1.000000
46359,1,15,nonspam,0.000000
46366,506,18,spam,0.750000
46394,103,25,nonspam,0.000000
46403,27,16,nonspam,0.000000
46452,6,22,nonspam,0.000000
46521,3,20,nonspam,0.000000
46523,6562,20,nonspam,0.000000
46555,46610,16,nonspam,0.000000
46666,1,16,nonspam,0.000000
46670,83,16,nonspam,0.000000
46737,1238,18,nonspam,0.000000
46741,158,18,nonspam,0.000000
46743,14,23,nonspam,0.000000
46744,118,21,nonspam,0.000000
46774,2,19,nonspam,0.000000
46876,52,23,nonspam,0.083333
