@relation '.\\uk-2007-05.obvious_features.csv'

@attribute number_of_pages numeric
@attribute length_of_hostname numeric
@attribute class {spam,nonspam}

@data
102,14,nonspam
37,16,nonspam
26,27,nonspam
280,23,nonspam
15,27,nonspam
5,23,nonspam
1,15,nonspam
1,14,nonspam
2,27,nonspam
6,15,nonspam
1,25,nonspam
113,28,nonspam
2,22,spam
1,26,spam
21,28,nonspam
1,27,spam
57,21,nonspam
190,18,nonspam
15,23,nonspam
11,23,nonspam
25,14,nonspam
23,17,nonspam
18,19,nonspam
1,18,nonspam
7,23,nonspam
8,15,nonspam
40,26,spam
16,30,nonspam
14,22,nonspam
11,24,nonspam
64,17,nonspam
934,24,nonspam
9,16,nonspam
1,18,nonspam
9,15,nonspam
9,25,nonspam
64,29,nonspam
1,22,nonspam
20,27,nonspam
1,19,nonspam
6,28,nonspam
37,36,nonspam
15,25,nonspam
220,15,nonspam
2659,27,nonspam
19,25,nonspam
20,32,nonspam
16,34,nonspam
22,32,nonspam
9,16,nonspam
1012,35,nonspam
14,30,spam
9,23,nonspam
22,27,nonspam
1262,22,nonspam
71,20,nonspam
27,30,nonspam
37,39,nonspam
186,17,nonspam
7756,20,nonspam
68,17,nonspam
314,13,nonspam
19,13,nonspam
155,22,nonspam
1,22,spam
1,19,spam
1,15,nonspam
506,18,spam
103,25,nonspam
27,16,nonspam
6,22,nonspam
3,20,nonspam
6562,20,nonspam
46610,16,nonspam
1,16,nonspam
83,16,nonspam
1238,18,nonspam
158,18,nonspam
14,23,nonspam
118,21,nonspam
2,19,nonspam
52,23,nonspam
74,28,nonspam
11,29,nonspam
4017,19,nonspam
6,32,nonspam
99,23,nonspam
6,25,nonspam
7,29,nonspam
16,29,nonspam
5596,28,nonspam
5,30,nonspam
1,23,nonspam
34,16,nonspam
26,28,nonspam
1,14,nonspam
520,16,nonspam
36,27,nonspam
31,23,nonspam
2036,21,nonspam
745,24,spam
32,30,nonspam
4,22,nonspam
647,23,nonspam
7,19,nonspam
1,24,nonspam
9,15,nonspam
1,18,nonspam
1,14,nonspam
6,28,nonspam
129,19,nonspam
308,29,nonspam
44668,15,nonspam
17,22,nonspam
4006,21,nonspam
29331,25,nonspam
28746,23,nonspam
15,31,nonspam
17,18,nonspam
293,18,nonspam
5,53,nonspam
60,24,nonspam
1,19,nonspam
1784,27,nonspam
30,27,nonspam
8,20,nonspam
3601,25,nonspam
134,22,spam
136,17,nonspam
1,23,nonspam
254,15,nonspam
6,18,nonspam
1,23,nonspam
80,21,nonspam
7,21,nonspam
12,20,nonspam
3,28,nonspam
2647,19,nonspam
2,16,nonspam
81,14,nonspam
13,17,nonspam
11,26,nonspam
2732,20,nonspam
1,19,spam
5,16,nonspam
1,14,spam
308,15,nonspam
215,29,nonspam
1,14,nonspam
3326,16,nonspam
7,14,nonspam
71,18,nonspam
2,24,nonspam
26,23,nonspam
1,24,nonspam
1403,24,spam
308,24,nonspam
19824,21,spam
18,20,nonspam
13,28,nonspam
3,18,nonspam
97,23,nonspam
250,18,nonspam
13,27,nonspam
20,22,nonspam
60,19,nonspam
32,21,nonspam
1,27,nonspam
112,26,nonspam
6,36,nonspam
465,22,nonspam
21762,14,nonspam
1,17,nonspam
16,22,nonspam
36,27,nonspam
10,17,nonspam
57,21,nonspam
14,17,nonspam
8,25,nonspam
23,18,nonspam
89,21,nonspam
49910,21,nonspam
160,17,nonspam
4,23,nonspam
43,18,nonspam
8,28,nonspam
1,15,nonspam
1,23,spam
10,15,nonspam
1,16,nonspam
6,32,nonspam
91,19,spam
63,17,nonspam
1,27,spam
98,26,nonspam
84,21,nonspam
22876,14,nonspam
11,27,nonspam
931,24,nonspam
21,35,nonspam
1,26,nonspam
1,32,nonspam
51,18,nonspam
1606,21,nonspam
8,30,nonspam
1,27,nonspam
15,29,nonspam
11,21,nonspam
12,21,nonspam
154,18,nonspam
48,23,nonspam
2,18,nonspam
20,23,nonspam
50,21,nonspam
23,30,nonspam
247,28,nonspam
25,14,nonspam
1356,14,nonspam
1,24,spam
305,29,nonspam
62,24,nonspam
1807,21,nonspam
298,26,nonspam
7,27,nonspam
21,22,nonspam
1,29,nonspam
11,18,nonspam
1,24,nonspam
2,20,spam
25,33,nonspam
10,26,nonspam
11,33,nonspam
76,17,nonspam
1,24,nonspam
551,24,spam
2,34,nonspam
196,22,nonspam
225,15,nonspam
176,15,nonspam
792,17,nonspam
3,26,spam
3,17,nonspam
38,23,nonspam
17,21,nonspam
76,19,nonspam
63,20,nonspam
1280,25,nonspam
7,27,nonspam
40146,30,nonspam
23,26,nonspam
112,22,nonspam
11,24,nonspam
342,13,nonspam
49,15,nonspam
21,19,nonspam
4,26,nonspam
1,27,spam
17,23,nonspam
13,21,nonspam
24,15,nonspam
82,23,nonspam
11,23,nonspam
13,25,nonspam
16,21,nonspam
36,24,nonspam
73,17,nonspam
1,21,nonspam
14,33,nonspam
25,27,nonspam
9,25,nonspam
53,24,spam
266,26,nonspam
1,26,nonspam
160,20,nonspam
15,23,nonspam
23,18,nonspam
18,19,nonspam
1593,20,nonspam
1,18,nonspam
98,25,nonspam
5,29,nonspam
20,30,nonspam
1,15,nonspam
1,25,nonspam
1,15,nonspam
1,15,nonspam
45,14,nonspam
1,22,nonspam
19,18,nonspam
6,18,nonspam
10,23,nonspam
1,27,nonspam
9,27,nonspam
137,17,nonspam
10,22,nonspam
10,24,nonspam
9,18,nonspam
452,31,nonspam
1,21,nonspam
14,16,nonspam
18290,22,nonspam
8,26,nonspam
509,18,nonspam
8,18,nonspam
5,19,nonspam
233,15,nonspam
5,18,nonspam
319,17,nonspam
14,30,nonspam
8,24,nonspam
44,35,nonspam
1039,20,nonspam
49,18,nonspam
658,18,nonspam
14,26,nonspam
73,27,nonspam
6,27,spam
47,29,nonspam
52,26,nonspam
15,23,nonspam
1,29,nonspam
154,22,nonspam
342,30,nonspam
15,24,nonspam
21,18,nonspam
11,17,nonspam
36,30,nonspam
1,18,nonspam
52,19,nonspam
1984,22,nonspam
10,27,nonspam
4,27,nonspam
90,24,nonspam
4,25,nonspam
11,22,nonspam
30,17,nonspam
648,17,nonspam
1,29,nonspam
3849,15,nonspam
1,27,spam
38159,14,nonspam
7,31,nonspam
14,19,nonspam
30,21,nonspam
58,23,nonspam
44,19,nonspam
36,20,nonspam
15,24,nonspam
1,22,nonspam
10,25,nonspam
37,25,nonspam
30,27,nonspam
3,20,spam
5,28,nonspam
1,14,nonspam
6,30,nonspam
51,18,spam
1,18,spam
3218,33,nonspam
184,30,nonspam
9,33,nonspam
2,30,nonspam
306,20,nonspam
20,30,nonspam
1,22,nonspam
421,24,nonspam
8,28,nonspam
1,25,nonspam
6,23,nonspam
518,29,nonspam
29,26,nonspam
1,27,nonspam
37,22,nonspam
2,27,spam
57,19,nonspam
18,34,nonspam
1,26,nonspam
1,28,nonspam
3,26,nonspam
5,25,nonspam
1,25,nonspam
1,24,nonspam
14,27,nonspam
10,27,nonspam
1,18,nonspam
1,25,nonspam
50,30,nonspam
3,20,nonspam
4280,19,nonspam
248,28,nonspam
5,26,nonspam
124,21,nonspam
1,18,nonspam
82,23,nonspam
5,31,nonspam
1,14,nonspam
3,17,nonspam
21,30,nonspam
63,21,nonspam
48,19,nonspam
9,25,nonspam
13,29,nonspam
147,38,nonspam
89,22,nonspam
41,31,nonspam
5,20,nonspam
164,20,nonspam
15,26,nonspam
1,24,nonspam
35,20,nonspam
8,23,nonspam
39190,20,spam
2160,13,nonspam
11,14,nonspam
33,19,nonspam
573,15,nonspam
109,27,nonspam
48,17,nonspam
325,17,nonspam
900,24,nonspam
31,22,nonspam
3,28,nonspam
1,20,nonspam
13,29,nonspam
354,15,nonspam
38,26,nonspam
18,21,nonspam
15,25,nonspam
15,30,nonspam
17,25,nonspam
43,24,nonspam
9,21,nonspam
1,26,nonspam
27,22,nonspam
14,19,nonspam
953,17,nonspam
34,26,nonspam
132,20,nonspam
26,24,nonspam
9,29,nonspam
458,24,nonspam
1,24,spam
194,23,nonspam
1,25,nonspam
1,17,nonspam
164,23,nonspam
26,21,nonspam
1,23,nonspam
4,28,nonspam
18,17,nonspam
1,27,nonspam
26,30,nonspam
52,33,nonspam
188,17,nonspam
6,26,nonspam
5,27,nonspam
5,29,nonspam
19,27,nonspam
9,36,nonspam
1,24,nonspam
30,28,nonspam
1,28,nonspam
20,26,nonspam
5,27,nonspam
32,32,nonspam
179,33,spam
246,20,nonspam
4,43,nonspam
1465,15,nonspam
10,27,nonspam
64,21,nonspam
846,24,nonspam
84,25,nonspam
2,17,nonspam
1,21,nonspam
137,26,nonspam
1,19,nonspam
886,17,nonspam
56,19,nonspam
2,14,nonspam
6979,15,nonspam
37,14,spam
3677,17,nonspam
1,26,nonspam
6,25,nonspam
6,26,nonspam
426,21,nonspam
9,25,nonspam
603,24,nonspam
1,21,nonspam
1,27,nonspam
4,18,nonspam
27,16,nonspam
267,19,nonspam
5,26,nonspam
78,24,nonspam
1,29,nonspam
2,26,nonspam
113,20,nonspam
23,20,nonspam
1,34,nonspam
102,24,nonspam
5,35,spam
19,14,nonspam
11,27,nonspam
43,14,nonspam
34,23,nonspam
25,14,nonspam
1172,23,nonspam
1,21,nonspam
1,24,nonspam
1,35,nonspam
1730,19,nonspam
171,24,nonspam
3,23,nonspam
1,21,nonspam
18,29,nonspam
37,26,nonspam
22,21,nonspam
3,18,nonspam
1,29,nonspam
56,24,nonspam
16,15,nonspam
6,26,nonspam
4,21,nonspam
113,20,nonspam
1,22,nonspam
139,22,nonspam
6,38,nonspam
134,24,nonspam
5,31,spam
5,37,nonspam
7,25,nonspam
20,29,nonspam
4,22,nonspam
7,29,nonspam
26,26,nonspam
65,18,nonspam
61,23,nonspam
11,26,nonspam
1,27,nonspam
259,20,nonspam
3,30,nonspam
4,22,nonspam
24,29,nonspam
8,25,nonspam
14,23,nonspam
1,23,nonspam
158,25,nonspam
9,21,nonspam
40,22,nonspam
12,20,nonspam
7395,19,nonspam
7,27,nonspam
72,20,nonspam
39,24,nonspam
47,22,nonspam
37626,21,nonspam
5,17,spam
17,26,nonspam
5,19,nonspam
10,22,nonspam
13,24,nonspam
2104,17,nonspam
8,18,nonspam
27,23,nonspam
13,23,nonspam
5,26,nonspam
119,14,nonspam
5,14,nonspam
5,25,nonspam
4,23,nonspam
154,16,nonspam
19,19,nonspam
35,14,nonspam
563,26,nonspam
5,21,spam
1,21,nonspam
1,38,nonspam
101,25,nonspam
21,25,nonspam
26,24,nonspam
56,27,nonspam
356,25,nonspam
26,19,nonspam
671,18,nonspam
111,21,nonspam
1,29,nonspam
67,19,nonspam
43,22,nonspam
23,26,nonspam
10,18,nonspam
9,26,nonspam
1,34,nonspam
64,19,nonspam
413,24,nonspam
26,13,nonspam
190,17,spam
7,15,nonspam
68,14,nonspam
155,15,nonspam
1,27,nonspam
59,14,nonspam
8,18,nonspam
96,22,nonspam
31,14,nonspam
180,21,nonspam
7484,31,nonspam
650,15,nonspam
111,15,nonspam
5,17,nonspam
5,13,nonspam
22,17,nonspam
96,19,nonspam
14,26,nonspam
71,28,nonspam
101,27,nonspam
1,18,nonspam
4,21,nonspam
1,18,nonspam
850,13,nonspam
1613,20,nonspam
113,17,nonspam
3758,15,nonspam
57,21,nonspam
647,16,nonspam
16,20,nonspam
22,19,nonspam
257,19,nonspam
328,19,nonspam
374,14,nonspam
19,15,nonspam
15,22,nonspam
68,26,nonspam
1,15,nonspam
271,23,nonspam
1,22,nonspam
11,18,nonspam
1,15,nonspam
34,16,nonspam
16,21,nonspam
95,16,nonspam
9,18,nonspam
1,21,nonspam
5,19,nonspam
258,25,nonspam
1,25,nonspam
104,21,nonspam
6,20,nonspam
55,15,nonspam
1,28,nonspam
83,20,nonspam
4,25,nonspam
4,35,nonspam
61,23,nonspam
430,21,nonspam
16,35,nonspam
12,15,nonspam
6,28,nonspam
28,30,nonspam
188,27,nonspam
10,22,nonspam
17,19,nonspam
49,18,nonspam
108,23,nonspam
1,26,spam
6,15,nonspam
296,14,nonspam
21,29,nonspam
422,18,nonspam
26,21,nonspam
439,13,nonspam
140,23,nonspam
4989,20,nonspam
20,20,nonspam
8,23,nonspam
6,26,nonspam
57,15,nonspam
2710,21,nonspam
48,14,nonspam
225,22,nonspam
253,27,nonspam
1,24,nonspam
1,21,nonspam
8,17,nonspam
464,19,nonspam
9,22,spam
3,22,nonspam
1,28,nonspam
1,34,nonspam
57,27,nonspam
43,15,nonspam
1,21,nonspam
40,19,nonspam
24,18,nonspam
180,15,nonspam
63,25,nonspam
50,20,nonspam
6,18,nonspam
23,18,nonspam
207,15,nonspam
44,26,nonspam
243,16,nonspam
34,16,nonspam
1,21,nonspam
84,24,nonspam
212,15,nonspam
8,22,nonspam
49,19,nonspam
952,17,nonspam
39,18,nonspam
286,19,nonspam
8,17,nonspam
302,20,nonspam
39895,13,spam
6,21,nonspam
12,14,nonspam
82,24,nonspam
9,23,nonspam
1,24,nonspam
1,24,nonspam
24,26,nonspam
10,19,nonspam
1,21,spam
16,19,nonspam
16,24,nonspam
32,32,nonspam
16,18,nonspam
4,19,nonspam
6,28,nonspam
245,18,nonspam
21,23,nonspam
2,35,nonspam
1,18,nonspam
7,25,nonspam
5,23,nonspam
343,23,nonspam
131,13,nonspam
9,23,spam
60,20,nonspam
1,15,nonspam
6,21,nonspam
5,26,nonspam
16,14,nonspam
814,22,spam
130,32,nonspam
7,25,nonspam
98,27,nonspam
118,22,nonspam
15,19,nonspam
29,22,nonspam
1,23,spam
1,22,nonspam
60,19,nonspam
77,22,nonspam
21,20,nonspam
30,20,nonspam
1,21,nonspam
43,22,nonspam
26,21,nonspam
11,19,nonspam
86,28,nonspam
13921,25,nonspam
209,15,nonspam
1,15,nonspam
43,14,nonspam
2,17,nonspam
7,19,nonspam
41,28,nonspam
2,21,nonspam
753,14,nonspam
1,25,nonspam
100,16,nonspam
54,20,nonspam
12,27,nonspam
8,23,nonspam
50,17,nonspam
14,21,nonspam
75,23,nonspam
57,31,nonspam
183,31,nonspam
768,22,nonspam
1,14,nonspam
23,27,nonspam
82,15,nonspam
4,37,nonspam
11,21,nonspam
11,18,nonspam
26379,27,nonspam
1,22,spam
4,33,nonspam
1,18,nonspam
4,29,nonspam
6,24,nonspam
19,21,nonspam
1832,25,nonspam
22,32,nonspam
11,21,nonspam
1,18,nonspam
25,20,nonspam
2,28,nonspam
1,26,nonspam
966,27,nonspam
37115,23,nonspam
34,22,nonspam
20,15,nonspam
333,22,spam
49999,17,spam
133,16,nonspam
2614,19,spam
7,24,spam
8,24,nonspam
68,22,nonspam
276,17,nonspam
1,20,nonspam
10,16,nonspam
527,15,nonspam
12,22,nonspam
1,22,nonspam
7135,24,nonspam
4,27,nonspam
24,25,nonspam
74,30,nonspam
67,21,nonspam
1069,14,nonspam
28,30,nonspam
4,28,nonspam
28,20,nonspam
72,19,nonspam
2,19,nonspam
1,28,nonspam
11,26,nonspam
86,22,nonspam
11,23,nonspam
3142,26,nonspam
14,22,nonspam
1,22,nonspam
360,19,nonspam
762,21,nonspam
114,23,nonspam
9,27,nonspam
40649,19,nonspam
4,25,nonspam
4,27,nonspam
16,32,nonspam
1,24,nonspam
1,23,nonspam
5,27,nonspam
189,22,nonspam
32,21,nonspam
61,15,nonspam
48,19,nonspam
5,22,nonspam
3,24,nonspam
36,25,nonspam
49,18,nonspam
7,25,nonspam
32,18,nonspam
1,18,nonspam
1,26,nonspam
145,19,nonspam
2089,21,nonspam
760,14,nonspam
1,22,nonspam
27,24,nonspam
2,22,nonspam
51,34,nonspam
199,35,nonspam
4,18,nonspam
1,31,nonspam
34,34,nonspam
47,28,nonspam
23,25,nonspam
39,23,nonspam
35,29,nonspam
1672,24,nonspam
146,25,nonspam
1,29,spam
12,33,nonspam
2963,24,nonspam
1650,26,nonspam
7222,28,nonspam
486,24,nonspam
14,30,nonspam
6,24,nonspam
25,19,nonspam
15,19,nonspam
1,18,spam
12,21,nonspam
425,14,nonspam
31,21,nonspam
3,18,nonspam
38482,17,nonspam
44,25,nonspam
1,17,nonspam
1119,21,nonspam
2,22,nonspam
113,20,nonspam
1114,25,nonspam
1,20,nonspam
30,21,nonspam
1,23,spam
41,17,nonspam
10,24,nonspam
16,23,nonspam
14,20,nonspam
685,18,nonspam
18,27,nonspam
11,29,nonspam
558,25,spam
10,20,nonspam
243,15,nonspam
3,19,nonspam
52,20,nonspam
47,21,nonspam
1993,19,nonspam
24,28,nonspam
2,23,spam
10,21,nonspam
99,25,nonspam
15,21,nonspam
1,26,nonspam
15046,27,nonspam
142,25,nonspam
85,20,nonspam
15,23,nonspam
3,20,nonspam
51,20,nonspam
9,22,nonspam
21,13,nonspam
12,13,nonspam
11,23,nonspam
47,18,nonspam
5,23,nonspam
10,20,nonspam
63,29,nonspam
42,24,nonspam
40,23,nonspam
21,23,nonspam
17,25,nonspam
39,32,nonspam
18643,19,nonspam
78,24,nonspam
371,26,nonspam
7947,28,nonspam
37,28,nonspam
43004,22,nonspam
7,32,nonspam
1,19,spam
31,21,nonspam
104,26,nonspam
69,33,nonspam
69,35,nonspam
273,20,nonspam
121,23,nonspam
37,30,spam
131,26,nonspam
11,29,nonspam
5221,14,nonspam
125,14,nonspam
2,21,spam
7,25,nonspam
8,25,nonspam
22,20,nonspam
50,18,nonspam
1,22,nonspam
1,20,nonspam
1,16,nonspam
10,21,nonspam
6113,24,nonspam
37,25,nonspam
28,33,nonspam
12,18,nonspam
18466,17,nonspam
28,25,nonspam
9,24,nonspam
13,31,nonspam
75,18,nonspam
49,26,spam
28,18,nonspam
13,27,spam
1,23,nonspam
8,15,nonspam
34,24,nonspam
13,20,nonspam
46,17,nonspam
124,25,nonspam
27,26,nonspam
1,26,nonspam
5,33,nonspam
96,19,nonspam
221,27,nonspam
1,34,spam
1,28,nonspam
288,15,nonspam
97,21,nonspam
566,25,nonspam
17,19,nonspam
16,19,nonspam
66,32,nonspam
20,26,nonspam
14,30,nonspam
1,15,nonspam
1,18,nonspam
5,22,nonspam
39,21,nonspam
1,20,nonspam
14,18,nonspam
47,20,nonspam
218,27,nonspam
42372,16,nonspam
10,21,nonspam
119,16,nonspam
127,34,nonspam
1,21,nonspam
56,29,nonspam
6,20,nonspam
25,24,nonspam
1060,17,nonspam
46,18,nonspam
2,20,nonspam
6,21,nonspam
7,21,nonspam
2383,20,nonspam
106,21,nonspam
1016,23,nonspam
74,16,nonspam
10,17,nonspam
38,18,nonspam
16,25,nonspam
56,16,nonspam
5,28,nonspam
2,21,nonspam
8,29,nonspam
1,22,nonspam
2,20,nonspam
21,15,nonspam
148,14,nonspam
3,16,nonspam
43,21,nonspam
9,24,nonspam
25,26,nonspam
21,16,nonspam
131,18,nonspam
206,29,nonspam
1,26,nonspam
1790,21,nonspam
36,18,nonspam
4,18,nonspam
1,14,nonspam
1,16,nonspam
13,21,nonspam
211,19,nonspam
34171,23,nonspam
95,25,nonspam
49754,19,nonspam
25,18,nonspam
23470,21,nonspam
5,28,nonspam
112,19,spam
46,17,nonspam
124,22,nonspam
137,19,nonspam
1,16,nonspam
32,19,nonspam
13,18,nonspam
36,27,nonspam
135,17,nonspam
7,18,nonspam
101,13,nonspam
27,27,nonspam
18,18,nonspam
1,21,spam
16,19,nonspam
53,19,nonspam
185,22,nonspam
77,31,nonspam
16,22,nonspam
9,27,nonspam
1,23,nonspam
24,30,nonspam
20,23,nonspam
14,22,nonspam
286,26,nonspam
227,34,nonspam
67,22,nonspam
102,24,nonspam
51,21,nonspam
15,25,nonspam
2,24,nonspam
241,22,nonspam
37868,17,nonspam
1,29,nonspam
9,32,nonspam
305,22,nonspam
18,29,nonspam
4,34,nonspam
1359,25,nonspam
613,26,nonspam
700,23,nonspam
7,20,nonspam
18399,22,spam
44,24,nonspam
1,25,nonspam
84,16,nonspam
2,24,nonspam
30854,15,nonspam
5,18,nonspam
590,14,nonspam
83,15,nonspam
151,15,nonspam
47,20,nonspam
10,24,nonspam
2,31,nonspam
8,23,nonspam
3,18,nonspam
161,26,nonspam
12,19,nonspam
458,31,nonspam
5,22,nonspam
75,21,nonspam
14,28,nonspam
1,23,nonspam
25,30,nonspam
63,14,nonspam
6,26,nonspam
15,18,nonspam
64,25,nonspam
8,20,nonspam
27,24,nonspam
1,26,nonspam
6,24,nonspam
58,27,nonspam
1,23,nonspam
11,19,nonspam
1,21,spam
535,19,nonspam
1653,23,nonspam
32,17,nonspam
12,26,nonspam
31,23,nonspam
38,27,nonspam
56,28,spam
11,29,nonspam
14,32,nonspam
15,22,nonspam
1,17,nonspam
14332,25,nonspam
36,34,nonspam
40,28,nonspam
3,21,nonspam
152,20,nonspam
31,23,nonspam
164,21,nonspam
26,25,nonspam
21,20,nonspam
30,27,nonspam
2,34,nonspam
234,16,spam
12,15,nonspam
19,22,nonspam
75,20,nonspam
9,19,nonspam
3,26,spam
13,18,nonspam
33,16,nonspam
176,19,nonspam
588,26,nonspam
4,19,nonspam
1,19,nonspam
25,14,nonspam
69,23,nonspam
7,20,nonspam
1,13,nonspam
18,16,nonspam
621,16,nonspam
26,20,nonspam
20161,28,nonspam
909,18,nonspam
15,23,spam
209,22,nonspam
6,25,nonspam
24,31,nonspam
21,23,nonspam
13,22,nonspam
539,16,nonspam
1,17,nonspam
1,30,nonspam
20,31,nonspam
13637,26,nonspam
69,25,nonspam
22876,16,nonspam
15,30,nonspam
23,24,nonspam
995,20,nonspam
41,16,nonspam
11,18,nonspam
543,14,nonspam
789,15,nonspam
4613,14,nonspam
1,23,nonspam
2163,14,nonspam
1,16,nonspam
89,16,nonspam
5,18,spam
700,15,nonspam
1,27,nonspam
12,14,nonspam
1,15,spam
1,23,nonspam
30,17,nonspam
13,21,nonspam
88,20,nonspam
52,20,nonspam
916,20,nonspam
727,24,nonspam
2,22,nonspam
214,20,nonspam
3439,33,nonspam
1,28,spam
8,25,nonspam
11,24,nonspam
218,28,nonspam
126,16,nonspam
63,23,nonspam
6,26,nonspam
267,25,nonspam
32171,20,nonspam
25,27,nonspam
175,18,nonspam
41,19,nonspam
23,21,nonspam
3,26,nonspam
98,37,nonspam
244,16,nonspam
230,22,nonspam
34,16,nonspam
65,22,nonspam
20,21,nonspam
4,38,nonspam
955,13,nonspam
8,21,nonspam
1,20,nonspam
3,23,nonspam
2601,20,nonspam
11,21,nonspam
26,25,nonspam
5,15,nonspam
13,18,nonspam
23,15,nonspam
645,14,nonspam
3,28,nonspam
140,22,nonspam
81,23,nonspam
1,24,spam
91,24,nonspam
34,19,nonspam
15,17,nonspam
576,22,nonspam
3,21,nonspam
8,32,nonspam
7,24,nonspam
1,31,nonspam
8,25,nonspam
1,43,nonspam
182,26,nonspam
369,26,nonspam
5,24,nonspam
5108,24,nonspam
8,33,nonspam
41,22,nonspam
3,33,nonspam
4,36,nonspam
7,25,nonspam
1,26,nonspam
1,25,nonspam
5,26,nonspam
3,22,nonspam
1,21,nonspam
1,37,nonspam
68,21,nonspam
14,19,nonspam
7301,25,nonspam
2,24,nonspam
2,35,nonspam
67,14,nonspam
24352,18,nonspam
7098,13,nonspam
33,22,nonspam
26,33,nonspam
4,35,nonspam
578,15,nonspam
76,17,nonspam
47,26,nonspam
16419,15,nonspam
319,18,nonspam
179,15,nonspam
1,25,nonspam
5,18,nonspam
186,27,nonspam
510,35,nonspam
93,29,nonspam
42,26,nonspam
34,16,nonspam
1,22,nonspam
60,13,nonspam
416,16,nonspam
16,14,nonspam
1,31,nonspam
25,22,nonspam
5,14,nonspam
804,20,nonspam
377,21,nonspam
30,21,nonspam
13,34,nonspam
41231,24,nonspam
37,28,nonspam
5,26,nonspam
50,29,nonspam
5,25,nonspam
62,30,nonspam
18,25,nonspam
14,25,nonspam
30,24,nonspam
1061,23,nonspam
19,21,nonspam
1,23,nonspam
81,19,nonspam
57,20,nonspam
950,16,nonspam
15938,14,nonspam
26,30,nonspam
43,26,nonspam
632,18,nonspam
5,21,nonspam
38,18,nonspam
16,21,nonspam
1,21,spam
50,18,nonspam
9,23,nonspam
181,22,nonspam
22,22,nonspam
1,23,nonspam
23,21,nonspam
97,19,nonspam
41,26,nonspam
34,15,nonspam
15,17,nonspam
2,22,nonspam
18,19,nonspam
809,16,nonspam
73,19,nonspam
108,19,nonspam
450,28,nonspam
1,26,nonspam
428,22,nonspam
35,24,nonspam
1,16,spam
1,25,nonspam
1,30,spam
44,15,nonspam
23,14,nonspam
61,28,nonspam
80,17,nonspam
2,14,nonspam
1,31,nonspam
1,20,nonspam
11036,17,spam
40,31,nonspam
56,31,nonspam
8,23,nonspam
50,37,nonspam
8,25,nonspam
99,18,nonspam
52,16,nonspam
15,17,nonspam
23,18,nonspam
87,20,nonspam
15,24,nonspam
2,18,nonspam
10,24,nonspam
33,21,nonspam
5,30,nonspam
14,29,nonspam
30638,17,nonspam
3,31,nonspam
2,21,nonspam
41,17,nonspam
6,25,nonspam
19,19,nonspam
4,30,nonspam
130,20,nonspam
12445,28,nonspam
5,22,nonspam
15,27,nonspam
1,20,nonspam
3346,18,nonspam
10,17,nonspam
23011,15,nonspam
10,17,spam
1,19,nonspam
121,22,nonspam
3,26,nonspam
1,40,nonspam
12,22,nonspam
3,27,nonspam
146,17,nonspam
705,26,nonspam
11,21,nonspam
62,18,nonspam
1,17,nonspam
1,22,nonspam
10,23,nonspam
26,21,nonspam
10,27,nonspam
86,20,nonspam
52,25,nonspam
8,27,nonspam
82,22,nonspam
24,32,nonspam
3,24,nonspam
335,25,spam
44,17,spam
49964,20,nonspam
10247,24,nonspam
12,21,nonspam
17,23,nonspam
3,14,nonspam
37,14,nonspam
15,17,nonspam
72,15,nonspam
20,22,nonspam
1,18,nonspam
5,22,nonspam
34,34,nonspam
1294,26,nonspam
188,23,nonspam
9,30,nonspam
308,20,nonspam
3222,22,nonspam
796,19,nonspam
7034,13,nonspam
1182,25,nonspam
7,35,nonspam
1195,27,nonspam
1,22,nonspam
11,26,nonspam
21,24,nonspam
59,17,nonspam
206,24,nonspam
9,29,nonspam
30,20,nonspam
29,24,nonspam
1,28,nonspam
5,23,nonspam
3,20,nonspam
566,19,nonspam
4,23,nonspam
20,18,nonspam
24,15,nonspam
1,19,spam
121,20,nonspam
16272,18,nonspam
1,18,nonspam
5,23,nonspam
13,17,nonspam
333,18,nonspam
291,29,nonspam
12,24,nonspam
26,25,nonspam
19159,21,nonspam
57,20,nonspam
2369,25,spam
262,25,nonspam
10,25,nonspam
1476,28,nonspam
13,19,nonspam
25,28,nonspam
10,19,nonspam
2357,21,nonspam
1,22,spam
38,15,nonspam
11,21,nonspam
66,22,nonspam
14941,23,nonspam
906,28,nonspam
1,23,nonspam
532,20,nonspam
174,18,nonspam
25844,14,nonspam
94,27,nonspam
289,18,nonspam
3795,17,nonspam
3,29,nonspam
94,20,nonspam
11,17,nonspam
1,19,nonspam
22,25,nonspam
12,31,nonspam
12,23,nonspam
32,29,nonspam
62,38,nonspam
181,38,nonspam
44,22,nonspam
32,22,nonspam
5,27,nonspam
27,24,nonspam
13,19,nonspam
19,24,nonspam
3,22,nonspam
1,25,nonspam
1,24,nonspam
1,18,spam
7,27,nonspam
135,22,nonspam
3401,17,nonspam
5301,20,nonspam
7,20,nonspam
1,18,nonspam
70,27,nonspam
12,22,nonspam
23,27,nonspam
45,26,nonspam
11,17,nonspam
38599,21,spam
159,21,nonspam
5,31,nonspam
37,23,nonspam
4662,18,nonspam
33,17,nonspam
72,20,nonspam
104,21,nonspam
1343,21,nonspam
28,21,nonspam
53,29,nonspam
1,20,nonspam
111,21,nonspam
1,15,nonspam
48,29,spam
3,24,nonspam
10,19,nonspam
49,20,nonspam
59,24,nonspam
4,24,nonspam
24,34,nonspam
2,22,nonspam
17,20,nonspam
41,21,nonspam
56,19,nonspam
11,21,nonspam
92,23,nonspam
